website,name,link,salary_min,salary_max,salary_currency,employer,address
hh.ru,Data Scientist (Fintech),https://spb.hh.ru/vacancy/54694063,,,,РобоФинанс,Москва
hh.ru,Data Scientist/Machine Learning Engineer (Developer),https://spb.hh.ru/vacancy/55343710,,,,Comexp,Новосибирск
hh.ru,Data Scientist/Machine Learning Engineer (Developer),https://spb.hh.ru/vacancy/55343711,,,,Comexp,Томск
hh.ru,Data scientist,https://spb.hh.ru/vacancy/48428526,,,,ПАО «Газпром нефть»,Санкт-Петербург
hh.ru,Senior Data Scientist/ML Engineer SberDevices,https://spb.hh.ru/vacancy/53269426,,,,Сбер для экспертов,Москва
hh.ru,Data Scientist (Retail Machine Learning),https://spb.hh.ru/vacancy/55277296,50000.0,300000.0,руб,Australian Pharmaceutical Industries,Санкт-Петербург
hh.ru,Lead data scientist,https://spb.hh.ru/vacancy/52421169,300000.0,,руб,Дром,Москва
hh.ru,Проджект-менеджер / Бизнес-аналитик в ИТ-продукт,https://spb.hh.ru/vacancy/55104841,,,,ООО БСТ Менеджмент-Консалтинг,Москва
hh.ru,Data scientist (middle/senior),https://spb.hh.ru/vacancy/51812421,,,,СберМегаМаркет,"Москва, Бауманская и еще 1 "
hh.ru,Data scientist,https://spb.hh.ru/vacancy/54012061,,,,"VK, Социальные сети, Одноклассники",Санкт-Петербург
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55276605,,,,"Hi, Rockits!",Москва
hh.ru,Senior Data Scientist (оценка моделей),https://spb.hh.ru/vacancy/55307831,,,,"«РОСБАНК, Societe Generale Group»",Москва
hh.ru,Data Analyst,https://spb.hh.ru/vacancy/55271924,,,,ООО АЙБРЕЙН,Санкт-Петербург
hh.ru,Data Scientist (Telco),https://spb.hh.ru/vacancy/55333690,,,,Sifox,Москва
hh.ru,Администратор на ML платформу (MLOps),https://spb.hh.ru/vacancy/55062779,,,,билайн: ИТ и Digital,Москва
hh.ru,"Senior Data Engineer, Health Insurance Startup",https://spb.hh.ru/vacancy/55486772,,,,DataArt,Алматы
hh.ru,Data scientist (директор) в управление процессных и финансовых моделей,https://spb.hh.ru/vacancy/54854132,,,,Банк ВТБ (ПАО),"Москва, Выставочная"
hh.ru,Data scientist (Нижний Новгород),https://spb.hh.ru/vacancy/53584667,,,,E-PROMO,"Нижний Новгород, Горьковская"
hh.ru,"Senior Data Engineer, Health Insurance Startup",https://spb.hh.ru/vacancy/55486773,,,,DataArt,Нур-Султан
hh.ru,Middle ML / Data Science разработчик,https://spb.hh.ru/vacancy/55277835,,170000.0,руб,Центр хранения и анализа больших данных,Москва
hh.ru,Data Analyst / Data Scientist (SQL/Oracle),https://spb.hh.ru/vacancy/55221077,,,,"ВСК, САО",Москва
hh.ru,Data scientist,https://spb.hh.ru/vacancy/55280538,,,,more.tv,"Москва, Тульская"
hh.ru,Data Scientist (ML) в Delivery Club,https://spb.hh.ru/vacancy/55257860,,,,"VK, Delivery Club","Москва, Сокол"
hh.ru,Разработчик моделей данных (Middle/Senior Data Scientist ),https://spb.hh.ru/vacancy/52248238,,,,РобоФинанс,Москва
hh.ru,Data Scientist (SberDevices),https://spb.hh.ru/vacancy/51784863,,,,Сбер. IT,"Москва, Кутузовская"
